kode;operator;kategori;betegnelse;imei;abo_type;gyldig_fra;gyldig_til;merknad
TELIAXINTRO;Telia;abonnement;TELIA X INTRO uten avtaletid;NEI;C;1.9.25;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TELIAXMAX;Telia;abonnement;TELIA X MAX uten avtaletid;NEI;C;2023-03-17 00:00:00;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TELIAXMAXP;Telia;abonnement;TELIA X MAX PLUSS uten avtaletid;NEI;C;2023-03-17 00:00:00;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TELIAXSTART;Telia;abonnement;TELIA X START uten avtaletid;NEI;C;2023-03-17 00:00:00;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TELIAXUNG;Telia;abonnement;TELIA X UNG uten avtaletid;NEI;C;2023-03-17 00:00:00;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TELIAXUNGAVT;Telia;abonnement;TELIA X UNG med avtaletid;JA;B;2023-03-17 00:00:00;;Salg med avtaletid
TEMOBIL10AVT;Telia;abonnement;TELIA MOBIL 10GB med avtaletid;JA;B;2023-03-17 00:00:00;;Salg med avtaletid
TEMOBIL10GB;Telia;abonnement;TELIA MOBIL 10GB uten avtaletid;NEI;C;2023-03-17 00:00:00;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TEMOBIL5GB;Telia;abonnement;TELIA MOBIL 5GB uten avtaletid;NEI;C;2022-12-04 00:00:00;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TEMOBIL5GBAVT;Telia;abonnement;TELIA MOBIL 5GB med avtaletid;JA;B;2022-12-04 00:00:00;;Salg med avtaletid
TEUNG10GB;Telia;abonnement;TELIA UNG 10GB uten avtaletid;NEI;C;2024-11-11 00:00:00;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TEUNG10GBAVT;Telia;abonnement;TELIA UNG 10GB med avtaletid;JA;B;2024-11-11 00:00:00;;Salg med avtaletid
TEXBASISAVT;Telia;abonnement;TELIA X BASIS med avtaletid;JA;A;2023-03-17 00:00:00;;Salg med avtaletid
TEXMAXAVT;Telia;abonnement;TELIA X MAX med avtaletid;JA;A;2023-03-17 00:00:00;;Salg med avtaletid
TEXMAXPAVT;Telia;abonnement;TELIA X MAX PLUSS med avtaletid;JA;A;2023-03-17 00:00:00;;Salg med avtaletid
TEXSTART12379;Telia;abonnement;TELIA X Kampanje med avtaletid (379,-);JA;A;2026-06-08 00:00:00;31.08;Gjelder kun nysalg, utløser ikke familierabatt. Selges med tilbehørsbinding eller terminalbinding
TEXSTART12KAM;Telia;abonnement;TELIA X Kampanje med avtaletid (399,-);JA;A;2026-05-04 00:00:00;;Gjelder kun nysalg, utløser ikke familierabatt. Selges med tilbehørsbinding eller terminalbinding
TEXSTARTAVT;Telia;abonnement;TELIA X START med avtaletid;JA;A;2023-03-17 00:00:00;;Salg med avtaletid
TEXVIAAVT;Telia;abonnement;TELIA X VIAPLAY med avtaletid;JA;A;2024-06-18 00:00:00;;Salg med avtaletid
TEXVIAPLAY;Telia;abonnement;TELIA X VIAPLAY uten avtaletid;NEI;C;2024-06-18 00:00:00;;Nysalg uten binding, portering uten binding, gjelder ikke oppgradering av eksisterende Teliakunde
TEXVIARAB;Telia;abonnement;TELIA X VIAPLAY ÅRSAVTALE;NEI;B;2024-06-18 00:00:00;;Årsavtale (BLACK WEEK TILBUD)
TEDELBET1000;Telia;delbetaling;TELIA Fleksibel delbetaling 1000 6, 12, 18, 24 MND;;;;;
TEDELBET10000;Telia;delbetaling;TELIA Fleksibel delbetaling 10000 6, 12, 18, 24 MND;;;;;
